                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.19643,                0.37794,                0.89509,                0.96162,                0.98492,                0.99205,                0.97796,                0.12849,                0.13245,                0.78707,               0.002872,               0.002872,               0.002872
                     38,                0.19425,                0.36515,                  0.895,                0.96097,                 0.9859,                0.99204,                0.97798,                0.12778,                 0.1303,                0.78676,               0.002674,               0.002674,               0.002674
                     39,                0.19254,                0.35889,                0.89304,                0.96128,                0.98604,                0.99222,                0.97835,                0.12717,                0.12853,                 0.7865,               0.002476,               0.002476,               0.002476
                     40,                0.19045,                0.34649,                0.89358,                0.96181,                0.98572,                 0.9923,                0.97859,                0.12661,                0.12673,                0.78618,               0.002278,               0.002278,               0.002278
                     41,                 0.1285,                0.21963,                0.82637,                0.95924,                0.98704,                0.99227,                 0.9786,                0.12605,                0.12471,                0.78595,                0.00208,                0.00208,                0.00208
                     42,                0.12257,                0.18899,                 0.8231,                0.95978,                 0.9873,                0.99245,                0.97876,                0.12531,                0.12228,                0.78545,               0.001882,               0.001882,               0.001882
                     43,                0.11914,                0.17043,                0.82064,                0.95896,                0.98812,                0.99247,                0.97876,                0.12419,                0.11943,                0.78477,               0.001684,               0.001684,               0.001684
                     44,                0.11647,                0.15871,                0.81996,                0.95849,                0.98891,                0.99247,                0.97883,                0.12302,                0.11683,                0.78417,               0.001486,               0.001486,               0.001486
                     45,                0.11592,                0.15046,                0.81944,                0.95879,                0.98975,                0.99257,                0.97896,                0.12205,                0.11411,                0.78352,               0.001288,               0.001288,               0.001288
                     46,                0.11305,                0.13921,                 0.8187,                 0.9587,                0.99043,                0.99257,                0.97908,                0.12119,                0.11162,                  0.783,                0.00109,                0.00109,                0.00109
                     47,                 0.1108,                0.13112,                0.81772,                 0.9584,                0.99115,                0.99259,                0.97919,                0.12023,                0.10928,                0.78237,               0.000892,               0.000892,               0.000892
                     48,                0.10729,                0.11841,                0.81671,                0.95861,                0.99109,                0.99263,                0.97923,                0.11928,                0.10675,                0.78186,               0.000694,               0.000694,               0.000694
                     49,                0.10462,                0.10901,                0.81562,                0.95883,                0.99176,                0.99275,                 0.9794,                0.11841,                0.10479,                0.78142,               0.000496,               0.000496,               0.000496
                     50,                0.10204,                0.10038,                 0.8141,                0.95964,                0.99193,                0.99273,                0.97944,                0.11761,                0.10252,                 0.7809,               0.000298,               0.000298,               0.000298
